underlying_symbol,spot_price,strike_price,expiry_date_str,option_type,ltp,bid,ask,volume,open_interest,iv,delta,gamma,theta,vega,collected_at,expiry_date,evaluation_date,time_to_maturity,risk_free_rate,dividend_yield,mid_price
ICICIBANK,1387,1320.0,30-06-2026,CALL,69.15,66.65,69.5,912,4421,0.223,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,68.075
ICICIBANK,1387,1320.0,30-06-2026,PUT,0.25,0.25,0.3,1742,2169,0.2122,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.275
ICICIBANK,1387,1330.0,30-06-2026,CALL,58.0,56.85,61.9,320,1472,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,59.375
ICICIBANK,1387,1330.0,30-06-2026,PUT,0.55,0.45,0.5,1955,1503,0.212,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.475
ICICIBANK,1387,1340.0,30-06-2026,CALL,49.55,48.1,51.95,400,2327,0.1918,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,50.025000000000006
ICICIBANK,1387,1340.0,30-06-2026,PUT,0.7,0.7,0.85,4529,2556,0.1909,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.7749999999999999
ICICIBANK,1387,1350.0,30-06-2026,CALL,40.1,38.3,41.45,1117,1944,0.1827,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,39.875
ICICIBANK,1387,1350.0,30-06-2026,PUT,0.9,0.8,1.0,9107,3127,0.16829999999999998,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.9
ICICIBANK,1387,1360.0,30-06-2026,CALL,31.2,30.15,32.1,3208,1739,0.17800000000000002,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,31.125
ICICIBANK,1387,1360.0,30-06-2026,PUT,1.55,1.55,1.7,12509,3277,0.156,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,1.625
ICICIBANK,1387,1370.0,30-06-2026,CALL,22.0,21.75,22.55,3043,1846,0.1524,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,22.15
