underlying_symbol,spot_price,strike_price,expiry_date_str,option_type,ltp,bid,ask,volume,open_interest,iv,delta,gamma,theta,vega,collected_at,expiry_date,evaluation_date,time_to_maturity,risk_free_rate,dividend_yield,mid_price
TCS,2095.9,2040.0,30-06-2026,CALL,58.55,57.55,58.7,3758,3170,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,58.125
TCS,2095.9,2040.0,30-06-2026,PUT,5.5,5.4,5.7,10248,3056,0.2529,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,5.550000000000001
TCS,2095.9,2060.0,30-06-2026,CALL,42.5,42.3,43.0,1841,1789,0.1685,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,42.65
TCS,2095.9,2060.0,30-06-2026,PUT,9.55,9.25,9.55,12419,5254,0.2489,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,9.4
TCS,2095.9,2080.0,30-06-2026,CALL,29.0,28.7,29.2,6781,2396,0.1858,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,28.95
TCS,2095.9,2080.0,30-06-2026,PUT,15.55,15.55,16.05,19584,3786,0.2438,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,15.8
TCS,2095.9,2100.0,30-06-2026,CALL,19.0,18.95,19.0,18587,6587,0.2003,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,18.975
TCS,2095.9,2100.0,30-06-2026,PUT,25.25,25.0,25.75,41126,6501,0.2516,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,25.375
TCS,2095.9,2120.0,30-06-2026,CALL,12.4,12.2,12.45,21521,6438,0.217,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,12.325
TCS,2095.9,2120.0,30-06-2026,PUT,37.85,37.85,39.05,20231,5433,0.2631,0.0,0.0,0.0,0.0,2026-06-25T22:13:49,2026-06-30,2026-06-25 22:13:50.005036,0.010958904109589041,0.07,0.02,38.45
